brightness,k_rate,w_rate
0.0,1.0,2.9265534349e-14
0.01,1.0,9.97980324946e-14
0.02,1.0,3.44141469508e-13
0.03,0.999999999999,1.20009649045e-12
0.04,0.999999999996,4.23135390644e-12
0.05,0.999999999985,1.50810808956e-11
0.06,0.999999999946,5.43158550876e-11
0.07,0.999999999802,1.97582600722e-10
0.08,0.999999999275,7.25426525653e-10
0.09,0.999999997314,2.68550621521e-09
0.1,1.0,1.28354911688e-14
0.11,1.0,2.02636341377e-13
0.12,0.999999999997,3.26167921184e-12
0.13,0.999999999947,5.33013063108e-11
0.14,0.999999999122,8.7813519756e-10
0.15,0.999999999997,3.21181494054e-12
0.16,0.999999999937,6.3185610631e-11
0.17,0.999999999417,5.82601370064e-10
0.18,0.999999999882,1.18321034161e-10
0.19,0.999978368238,2.16317621255e-05
0.2,0.999078017927,0.000921982073178
0.21,0.998116435254,0.0018835647461
0.22,0.997090945855,0.00290905414528
0.23,0.995998724856,0.00400127514419
0.24,0.99483682285,0.0051631771505
0.25,0.993602031542,0.00639796845846
0.26,0.992290992727,0.00770900727348
0.27,0.990900121092,0.00909987890768
0.28,0.989425613051,0.0105743869491
0.29,0.98786339352,0.0121366064803
0.3,0.986209147003,0.0137908529975
0.31,0.984458256212,0.015541743788
0.32,0.982605800947,0.0173941990529
0.33,0.980646525199,0.0193534748006
0.34,0.978574829063,0.0214251709365
0.35,0.976384715488,0.0236152845118
0.36,0.974069769505,0.0259302304949
0.37,0.971623164016,0.0283768359839
0.38,0.969037556475,0.0309624435247
0.39,0.966305106708,0.0336948932924
0.4,0.963417419289,0.036582580711
0.41,0.960365501598,0.0396344984024
0.42,0.957139718187,0.0428602818132
0.43,0.95372974146,0.0462702585401
0.44,0.950124498502,0.0498755014976
0.45,0.946312113879,0.0536878861206
0.46,0.942279848187,0.0577201518126
0.47,0.938014032155,0.0619859678445
0.48,0.933499968745,0.0665000312547
0.49,0.928721980869,0.0712780191315
0.5,0.92366311971,0.0763368802901
0.51,0.918305245906,0.0816947540942
0.52,0.912628887704,0.0873711122956
0.53,0.906613146931,0.0933868530686
0.54,0.900235600464,0.0997643995363
0.55,0.893472197893,0.106527802107
0.56,0.886297156337,0.113702843663
0.57,0.878682853693,0.121317146307
0.58,0.870599722094,0.129400277906
0.59,0.862016143891,0.137983856109
0.6,0.852898353238,0.147101646762
0.61,0.843210347248,0.156789652752
0.62,0.832913811812,0.167086188188
0.63,0.821968010198,0.178031989802
0.64,0.810330023332,0.189669976668
0.65,0.797954291957,0.202045708043
0.66,0.784793122858,0.215206877142
0.67,0.770796576391,0.229203423609
0.68,0.755912791341,0.244087208659
0.69,0.740088294702,0.259911705298
0.7,0.723268452734,0.276731547266
0.71,0.705398108523,0.294601891477
0.72,0.686422415697,0.313577584303
0.73,0.666287915141,0.333712084859
0.74,0.644943899665,0.355056100335
0.75,0.622344050753,0.377655949247
0.76,0.598448829607,0.401551170393
0.77,0.573227419095,0.426772580905
0.78,0.546661224399,0.453338775601
0.79,0.518746937297,0.481253062703
0.8,0.489501816791,0.510498183209
0.81,0.458964834765,0.541035165235
0.82,0.427206276893,0.572793723107
0.83,0.394327661568,0.605672338432
0.84,0.360471566686,0.639528433314
0.85,0.325822647646,0.674177352354
0.86,0.290613616202,0.709386383798
0.87,0.255125099045,0.744874900955
0.88,0.219691628868,0.780308371132
0.89,0.184694450092,0.815305549908
0.9,0.150558925436,0.849441074564
0.91,0.117746722176,0.882253277824
0.92,0.0867426390561,0.913257360944
0.93,0.0580392275088,0.941960772491
0.94,0.0321188336489,0.967881166351
0.95,0.00943232739211,0.990567672608
0.96,1.19446030586e-07,0.999999880554
0.97,2.13755312302e-07,0.999999786245
0.98,3.6838176787e-10,0.999999999632
0.99,3.47938273635e-08,0.999999965206
1.0,2.92146695891e-12,0.999999999997
